,ImageId,Label
0,0,2.0
1,1,0.0
2,2,9.0
3,3,9.0
4,4,3.0
5,5,7.0
6,6,0.0
7,7,3.0
8,8,0.0
9,9,3.0
10,10,5.0
11,11,7.0
12,12,4.0
13,13,0.0
14,14,4.0
15,15,3.0
16,16,3.0
17,17,1.0
18,18,9.0
19,19,0.0
20,20,9.0
21,21,1.0
22,22,1.0
23,23,5.0
24,24,7.0
25,25,4.0
26,26,2.0
27,27,7.0
28,28,4.0
29,29,7.0
30,30,7.0
31,31,5.0
32,32,4.0
33,33,2.0
34,34,6.0
35,35,2.0
36,36,5.0
37,37,5.0
38,38,1.0
39,39,6.0
40,40,7.0
41,41,7.0
42,42,4.0
43,43,9.0
44,44,8.0
45,45,7.0
46,46,8.0
47,47,2.0
48,48,6.0
49,49,7.0
50,50,6.0
51,51,8.0
52,52,8.0
53,53,3.0
54,54,8.0
55,55,2.0
56,56,1.0
57,57,2.0
58,58,2.0
59,59,0.0
60,60,4.0
61,61,1.0
62,62,7.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,1.0
67,67,9.0
68,68,0.0
69,69,1.0
70,70,6.0
71,71,5.0
72,72,8.0
73,73,8.0
74,74,2.0
75,75,8.0
76,76,9.0
77,77,9.0
78,78,2.0
79,79,3.0
80,80,5.0
81,81,4.0
82,82,1.0
83,83,0.0
84,84,9.0
85,85,2.0
86,86,4.0
87,87,3.0
88,88,6.0
89,89,7.0
90,90,2.0
91,91,0.0
92,92,6.0
93,93,6.0
94,94,1.0
95,95,4.0
96,96,3.0
97,97,9.0
98,98,7.0
99,99,4.0
100,100,0.0
101,101,9.0
102,102,2.0
103,103,0.0
104,104,7.0
105,105,3.0
106,106,0.0
107,107,5.0
108,108,0.0
109,109,8.0
110,110,0.0
111,111,0.0
112,112,4.0
113,113,7.0
114,114,1.0
115,115,7.0
116,116,1.0
117,117,1.0
118,118,3.0
119,119,3.0
120,120,3.0
121,121,7.0
122,122,2.0
123,123,8.0
124,124,6.0
125,125,3.0
126,126,8.0
127,127,7.0
128,128,7.0
129,129,4.0
130,130,3.0
131,131,5.0
132,132,6.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,3.0
137,137,1.0
138,138,3.0
139,139,6.0
140,140,4.0
141,141,3.0
142,142,4.0
143,143,5.0
144,144,5.0
145,145,8.0
146,146,7.0
147,147,7.0
148,148,2.0
149,149,8.0
150,150,4.0
151,151,3.0
152,152,5.0
153,153,6.0
154,154,5.0
155,155,3.0
156,156,7.0
157,157,5.0
158,158,7.0
159,159,8.0
160,160,3.0
161,161,0.0
162,162,4.0
163,163,5.0
164,164,1.0
165,165,2.0
166,166,7.0
167,167,6.0
168,168,3.0
169,169,0.0
170,170,2.0
171,171,7.0
172,172,8.0
173,173,6.0
174,174,1.0
175,175,3.0
176,176,7.0
177,177,4.0
178,178,1.0
179,179,2.0
180,180,4.0
181,181,8.0
182,182,5.0
183,183,2.0
184,184,4.0
185,185,9.0
186,186,2.0
187,187,1.0
188,188,6.0
189,189,0.0
190,190,6.0
191,191,1.0
192,192,4.0
193,193,9.0
194,194,6.0
195,195,0.0
196,196,9.0
197,197,7.0
198,198,6.0
199,199,9.0
200,200,1.0
201,201,9.0
202,202,0.0
203,203,9.0
204,204,9.0
205,205,0.0
206,206,8.0
207,207,4.0
208,208,6.0
209,209,2.0
210,210,0.0
211,211,9.0
212,212,3.0
213,213,6.0
214,214,3.0
215,215,2.0
216,216,1.0
217,217,6.0
218,218,3.0
219,219,4.0
220,220,2.0
221,221,3.0
222,222,1.0
223,223,2.0
224,224,2.0
225,225,0.0
226,226,4.0
227,227,6.0
228,228,1.0
229,229,0.0
230,230,0.0
231,231,4.0
232,232,9.0
233,233,1.0
234,234,7.0
235,235,3.0
236,236,2.0
237,237,3.0
238,238,8.0
239,239,6.0
240,240,8.0
241,241,6.0
242,242,2.0
243,243,8.0
244,244,5.0
245,245,5.0
246,246,4.0
247,247,8.0
248,248,3.0
249,249,5.0
250,250,9.0
251,251,7.0
252,252,1.0
253,253,3.0
254,254,8.0
255,255,4.0
256,256,5.0
257,257,1.0
258,258,4.0
259,259,5.0
260,260,6.0
261,261,3.0
262,262,3.0
263,263,5.0
264,264,7.0
265,265,0.0
266,266,6.0
267,267,8.0
268,268,3.0
269,269,1.0
270,270,6.0
271,271,0.0
272,272,6.0
273,273,3.0
274,274,9.0
275,275,5.0
276,276,1.0
277,277,5.0
278,278,8.0
279,279,4.0
280,280,0.0
281,281,9.0
282,282,2.0
283,283,0.0
284,284,5.0
285,285,3.0
286,286,7.0
287,287,1.0
288,288,9.0
289,289,9.0
290,290,5.0
291,291,7.0
292,292,7.0
293,293,9.0
294,294,9.0
295,295,6.0
296,296,3.0
297,297,0.0
298,298,3.0
299,299,3.0
300,300,6.0
301,301,9.0
302,302,8.0
303,303,2.0
304,304,6.0
305,305,3.0
306,306,7.0
307,307,1.0
308,308,4.0
309,309,5.0
310,310,8.0
311,311,5.0
312,312,9.0
313,313,0.0
314,314,0.0
315,315,3.0
316,316,8.0
317,317,4.0
318,318,1.0
319,319,8.0
320,320,4.0
321,321,1.0
322,322,1.0
323,323,9.0
324,324,8.0
325,325,4.0
326,326,5.0
327,327,1.0
328,328,5.0
329,329,3.0
330,330,6.0
331,331,3.0
332,332,1.0
333,333,3.0
334,334,0.0
335,335,9.0
336,336,0.0
337,337,0.0
338,338,6.0
339,339,0.0
340,340,6.0
341,341,3.0
342,342,1.0
343,343,8.0
344,344,6.0
345,345,0.0
346,346,6.0
347,347,5.0
348,348,2.0
349,349,2.0
350,350,6.0
351,351,7.0
352,352,7.0
353,353,2.0
354,354,5.0
355,355,8.0
356,356,3.0
357,357,9.0
358,358,2.0
359,359,7.0
360,360,8.0
361,361,6.0
362,362,3.0
363,363,8.0
364,364,4.0
365,365,2.0
366,366,3.0
367,367,8.0
368,368,1.0
369,369,6.0
370,370,4.0
371,371,8.0
372,372,7.0
373,373,9.0
374,374,7.0
375,375,6.0
376,376,9.0
377,377,5.0
378,378,3.0
379,379,7.0
380,380,6.0
381,381,5.0
382,382,5.0
383,383,4.0
384,384,2.0
385,385,6.0
386,386,2.0
387,387,1.0
388,388,3.0
389,389,7.0
390,390,1.0
391,391,7.0
392,392,9.0
393,393,9.0
394,394,6.0
395,395,1.0
396,396,1.0
397,397,1.0
398,398,7.0
399,399,3.0
400,400,9.0
401,401,7.0
402,402,6.0
403,403,1.0
404,404,1.0
405,405,1.0
406,406,9.0
407,407,3.0
408,408,8.0
409,409,5.0
410,410,5.0
411,411,0.0
412,412,4.0
413,413,1.0
414,414,2.0
415,415,3.0
416,416,1.0
417,417,1.0
418,418,3.0
419,419,5.0
420,420,9.0
421,421,6.0
422,422,6.0
423,423,5.0
424,424,3.0
425,425,1.0
426,426,4.0
427,427,7.0
428,428,4.0
429,429,7.0
430,430,4.0
431,431,8.0
432,432,5.0
433,433,2.0
434,434,6.0
435,435,1.0
436,436,3.0
437,437,9.0
438,438,5.0
439,439,0.0
440,440,8.0
441,441,4.0
442,442,7.0
443,443,4.0
444,444,4.0
445,445,4.0
446,446,1.0
447,447,5.0
448,448,3.0
449,449,9.0
450,450,5.0
451,451,7.0
452,452,6.0
453,453,9.0
454,454,5.0
455,455,9.0
456,456,2.0
457,457,3.0
458,458,5.0
459,459,6.0
460,460,6.0
461,461,7.0
462,462,5.0
463,463,0.0
464,464,5.0
465,465,1.0
466,466,7.0
467,467,4.0
468,468,4.0
469,469,1.0
470,470,1.0
471,471,4.0
472,472,9.0
473,473,5.0
474,474,6.0
475,475,0.0
476,476,1.0
477,477,3.0
478,478,1.0
479,479,0.0
480,480,4.0
481,481,8.0
482,482,1.0
483,483,2.0
484,484,7.0
485,485,9.0
486,486,4.0
487,487,8.0
488,488,3.0
489,489,7.0
490,490,7.0
491,491,4.0
492,492,2.0
493,493,4.0
494,494,6.0
495,495,7.0
496,496,6.0
497,497,3.0
498,498,2.0
499,499,0.0
500,500,6.0
501,501,5.0
502,502,9.0
503,503,4.0
504,504,1.0
505,505,8.0
506,506,3.0
507,507,3.0
508,508,0.0
509,509,2.0
510,510,7.0
511,511,8.0
512,512,8.0
513,513,7.0
514,514,5.0
515,515,3.0
516,516,5.0
517,517,7.0
518,518,4.0
519,519,3.0
520,520,6.0
521,521,9.0
522,522,0.0
523,523,7.0
524,524,7.0
525,525,1.0
526,526,0.0
527,527,1.0
528,528,1.0
529,529,7.0
530,530,0.0
531,531,5.0
532,532,3.0
533,533,8.0
534,534,3.0
535,535,5.0
536,536,6.0
537,537,5.0
538,538,4.0
539,539,3.0
540,540,0.0
541,541,2.0
542,542,8.0
543,543,2.0
544,544,0.0
545,545,3.0
546,546,0.0
547,547,9.0
548,548,2.0
549,549,1.0
550,550,1.0
551,551,3.0
552,552,0.0
553,553,5.0
554,554,5.0
555,555,0.0
556,556,7.0
557,557,5.0
558,558,6.0
559,559,2.0
560,560,0.0
561,561,3.0
562,562,8.0
